engine_id,phase,case_id,reading_variant,status,duration_sec,generation_sec,rtf,cer,f0_mean_hz,f0_range_hz,energy_rms_dbfs,pause_ratio,speaking_rate_proxy,pronunciation_result,human_review_required
voicevox,phase1,n01,raw,generated,8.810667,1.248496,0.14170277914260065,0.1111111111111111,309.2052810031055,387.32394366197184,-22.80915966958584,0.12669683257918551,6.476683937823834,not_applicable,False
voicevox,phase1,n02,raw,generated,10.581333,1.497228,0.14149710627196024,0.07017543859649122,313.73455180490316,406.25,-23.639828980133775,0.1584905660377358,5.941704035874439,not_applicable,False
voicevox,phase1,n03,raw,generated,9.674667,1.322654,0.13671312924775603,0.0392156862745098,307.76894708483695,411.7647058823529,-24.228288849559718,0.15702479338842978,5.637254901960784,not_applicable,False
voicevox,phase1,e01,raw,generated,6.784,0.937497,0.13819236438679247,0.11764705882352941,358.46900726681474,353.6585365853658,-29.245825277109468,0.32352941176470584,6.521739130434783,not_applicable,False
voicevox,phase1,e02,raw,generated,5.344,0.772945,0.1446379116766467,0.07142857142857142,314.55762960304344,423.8095238095238,-24.752319539126724,0.14925373134328357,5.482456140350878,not_applicable,False
voicevox,phase1,e03,raw,generated,5.973333,0.83603,0.1399603872745752,0.15625,345.11017481835535,405.88235294117646,-28.424662298237877,0.24,6.359649122807018,not_applicable,False
voicevox,phase1,e04,raw,generated,6.090667,0.856291,0.14059067750707763,0.06060606060606061,308.7987133532158,381.7733990147783,-25.08696892035186,0.24183006535947715,6.25,not_applicable,False
voicevox,phase1,e05,raw,generated,5.173333,0.74424,0.14386083401165167,0.09090909090909091,290.4776842002533,363.6363636363636,-24.191366734003804,0.11538461538461542,6.521739130434783,not_applicable,False
voicevox,phase1,e06,raw,generated,6.474667,0.906801,0.14005368924764777,0.1,316.99985317806687,409.433962264151,-25.298991673394575,0.18518518518518523,6.8181818181818175,not_applicable,False
voicevox,phase1,p01,raw,generated,3.498667,0.51551,0.14734468870572706,0.10526315789473684,299.81928358397255,382.9268292682927,-24.996884893796544,0.18181818181818177,5.902777777777778,不合格,True
voicevox,phase1,p01,engine_native,generated,3.498667,0.516434,0.14760878929032112,0.10526315789473684,299.81928358397255,382.9268292682927,-24.996884893796544,0.18181818181818177,5.902777777777778,不合格,True
voicevox,phase1,p01,external_preprocessed,generated,3.498667,0.51652,0.14763337008066213,0.10526315789473684,299.81928358397255,382.9268292682927,-24.996884893796544,0.18181818181818177,5.902777777777778,不合格,True
voicevox,phase1,p02,raw,generated,3.808,0.585944,0.1538718487394958,0.15,307.2078837088777,387.85046728971963,-24.058473606310994,0.13541666666666663,5.421686746987952,不合格,False
voicevox,phase1,p02,engine_native,generated,3.808,0.701054,0.1841003151260504,0.15,307.2078837088777,387.85046728971963,-24.058473606310994,0.13541666666666663,5.421686746987952,不合格,False
voicevox,phase1,p02,external_preprocessed,generated,3.808,0.700371,0.18392095588235294,0.15,307.2078837088777,387.85046728971963,-24.058473606310994,0.13541666666666663,5.421686746987952,不合格,False
voicevox,phase1,p03,raw,generated,4.416,0.784995,0.17776154891304347,0.09090909090909091,311.5269009471234,384.05797101449275,-23.588210475463505,0.1351351351351351,5.208333333333334,不合格,False
voicevox,phase1,p03,engine_native,generated,4.416,0.783453,0.17741236413043476,0.09090909090909091,311.5269009471234,384.05797101449275,-23.588210475463505,0.1351351351351351,5.208333333333334,不合格,False
voicevox,phase1,p03,external_preprocessed,generated,4.405333,0.788465,0.17897965942642702,0.09090909090909091,315.22273498600947,426.8292682926829,-23.65566022160765,0.11711711711711714,5.1020408163265305,不合格,False
voicevox,phase1,p04,raw,generated,4.192,0.753502,0.1797476145038168,0.12,308.0579087107318,386.79245283018867,-23.458139665372588,0.1428571428571429,6.388888888888888,不合格,False
voicevox,phase1,p04,engine_native,generated,4.192,0.768319,0.18328220419847327,0.12,308.0579087107318,386.79245283018867,-23.458139665372588,0.1428571428571429,6.388888888888888,不合格,False
voicevox,phase1,p04,external_preprocessed,generated,4.170667,0.749528,0.17971418001005593,0.12,310.4575927777297,369.19290329197,-23.014553980252273,0.1523809523809524,6.46067415730337,要確認,False
